,year,state,income
0,2021,avgerage,70784.0
1,2020,avgerage,68010.0
2,2019,avgerage,68703.0
3,2018,avgerage,63179.0
4,2017,avgerage,61136.0
5,2016,avgerage,59039.0
6,2015,avgerage,56516.0
7,2014,avgerage,53657.0
8,2013,avgerage,51939.0
9,2012,avgerage,51017.0
10,2011,avgerage,50054.0
11,2010,avgerage,49276.0
12,2009,avgerage,49777.0
13,2008,avgerage,50303.0
14,2007,avgerage,50233.0
15,2006,avgerage,48201.0
16,2005,avgerage,46326.0
17,2004,avgerage,44334.0
18,2003,avgerage,43318.0
19,2002,avgerage,42409.0
20,2001,avgerage,42228.0
21,2000,avgerage,41990.0
22,1999,avgerage,40696.0
23,1998,avgerage,38885.0
24,1997,avgerage,37005.0
25,1996,avgerage,35492.0
26,1995,avgerage,34076.0
27,1994,avgerage,32264.0
28,1993,avgerage,31241.0
29,1992,avgerage,30636.0
30,1991,avgerage,30126.0
31,1990,avgerage,29943.0
32,1989,avgerage,28906.0
33,1988,avgerage,27225.0
34,1987,avgerage,26061.0
35,2021,Alabama,56929.0
36,2020,Alabama,54689.0
37,2019,Alabama,56200.0
38,2018,Alabama,49936.0
39,2017,Alabama,50865.0
40,2016,Alabama,47221.0
41,2015,Alabama,44509.0
42,2014,Alabama,42278.0
43,2013,Alabama,41381.0
44,2012,Alabama,43464.0
45,2011,Alabama,42590.0
46,2010,Alabama,40933.0
47,2009,Alabama,39980.0
48,2008,Alabama,44476.0
49,2007,Alabama,42212.0
50,2006,Alabama,37952.0
51,2005,Alabama,37150.0
52,2004,Alabama,36629.0
53,2003,Alabama,37255.0
54,2002,Alabama,37603.0
55,2001,Alabama,35160.0
56,2000,Alabama,35424.0
57,1999,Alabama,36251.0
58,1998,Alabama,36266.0
59,1997,Alabama,31939.0
60,1996,Alabama,30302.0
61,1995,Alabama,25991.0
62,1994,Alabama,27196.0
63,1993,Alabama,25082.0
64,1992,Alabama,25808.0
65,1991,Alabama,24346.0
66,1990,Alabama,23357.0
67,1989,Alabama,21284.0
68,1988,Alabama,19948.0
69,1987,Alabama,19734.0
70,2021,Alaska,81133.0
71,2020,Alaska,74746.0
72,2019,Alaska,78394.0
73,2018,Alaska,68734.0
74,2017,Alaska,77987.0
75,2016,Alaska,75723.0
76,2015,Alaska,75112.0
77,2014,Alaska,67629.0
78,2013,Alaska,61137.0
79,2012,Alaska,63648.0
80,2011,Alaska,57431.0
81,2010,Alaska,57848.0
82,2009,Alaska,61604.0
83,2008,Alaska,63989.0
84,2007,Alaska,62993.0
85,2006,Alaska,56418.0
86,2005,Alaska,55891.0
87,2004,Alaska,55063.0
88,2003,Alaska,51837.0
89,2002,Alaska,52774.0
90,2001,Alaska,57363.0
91,2000,Alaska,52847.0
92,1999,Alaska,51396.0
93,1998,Alaska,50692.0
94,1997,Alaska,47994.0
95,1996,Alaska,52779.0
96,1995,Alaska,47954.0
97,1994,Alaska,45367.0
98,1993,Alaska,42931.0
99,1992,Alaska,41802.0
100,1991,Alaska,40612.0
101,1990,Alaska,39298.0
102,1989,Alaska,36006.0
103,1988,Alaska,33103.0
104,1987,Alaska,33233.0
105,2021,Arizona,70821.0
106,2020,Arizona,67088.0
107,2019,Arizona,70674.0
108,2018,Arizona,62283.0
109,2017,Arizona,59700.0
110,2016,Arizona,57100.0
111,2015,Arizona,52248.0
112,2014,Arizona,49254.0
113,2013,Arizona,50602.0
114,2012,Arizona,47044.0
115,2011,Arizona,48621.0
116,2010,Arizona,46896.0
117,2009,Arizona,45739.0
118,2008,Arizona,46914.0
119,2007,Arizona,47215.0
120,2006,Arizona,46657.0
121,2005,Arizona,45245.0
122,2004,Arizona,43846.0
123,2003,Arizona,41166.0
124,2002,Arizona,39734.0
125,2001,Arizona,42704.0
126,2000,Arizona,39783.0
127,1999,Arizona,36995.0
128,1998,Arizona,37090.0
129,1997,Arizona,32740.0
130,1996,Arizona,31637.0
131,1995,Arizona,30863.0
132,1994,Arizona,31293.0
133,1993,Arizona,30510.0
134,1992,Arizona,29358.0
135,1991,Arizona,30737.0
136,1990,Arizona,29224.0
137,1989,Arizona,28552.0
138,1988,Arizona,26435.0
139,1987,Arizona,26749.0
140,2021,Arkansas,50784.0
141,2020,Arkansas,50777.0
142,2019,Arkansas,54539.0
143,2018,Arkansas,49781.0
144,2017,Arkansas,49751.0
145,2016,Arkansas,45907.0
146,2015,Arkansas,42798.0
147,2014,Arkansas,44922.0
148,2013,Arkansas,39919.0
149,2012,Arkansas,39018.0
150,2011,Arkansas,41302.0
151,2010,Arkansas,38587.0
152,2009,Arkansas,36538.0
153,2008,Arkansas,39586.0
154,2007,Arkansas,40795.0
155,2006,Arkansas,37057.0
156,2005,Arkansas,36658.0
157,2004,Arkansas,34984.0
158,2003,Arkansas,32002.0
159,2002,Arkansas,32387.0
160,2001,Arkansas,33339.0
161,2000,Arkansas,29697.0
162,1999,Arkansas,29682.0
163,1998,Arkansas,27665.0
164,1997,Arkansas,26162.0
165,1996,Arkansas,27123.0
166,1995,Arkansas,25814.0
167,1994,Arkansas,25565.0
168,1993,Arkansas,23039.0
169,1992,Arkansas,23882.0
170,1991,Arkansas,23435.0
171,1990,Arkansas,22786.0
172,1989,Arkansas,21433.0
173,1988,Arkansas,20172.0
174,1987,Arkansas,18827.0
175,2021,California,81575.0
176,2020,California,77652.0
177,2019,California,78105.0
178,2018,California,70489.0
179,2017,California,70038.0
180,2016,California,66637.0
181,2015,California,63636.0
182,2014,California,60487.0
183,2013,California,57528.0
184,2012,California,57020.0
185,2011,California,53367.0
186,2010,California,54283.0
187,2009,California,56134.0
188,2008,California,57014.0
189,2007,California,55734.0
190,2006,California,55319.0
191,2005,California,51755.0
192,2004,California,49222.0
193,2003,California,49300.0
194,2002,California,47437.0
195,2001,California,47262.0
196,2000,California,46816.0
197,1999,California,43629.0
198,1998,California,40934.0
199,1997,California,39694.0
200,1996,California,38812.0
201,1995,California,37009.0
202,1994,California,35331.0
203,1993,California,34073.0
204,1992,California,34903.0
205,1991,California,33664.0
206,1990,California,33290.0
207,1989,California,33009.0
208,1988,California,30287.0
209,1987,California,30146.0
210,2021,Colorado,84954.0
211,2020,Colorado,83777.0
212,2019,Colorado,72499.0
213,2018,Colorado,73034.0
214,2017,Colorado,74984.0
215,2016,Colorado,70566.0
216,2015,Colorado,66596.0
217,2014,Colorado,60940.0
218,2013,Colorado,63371.0
219,2012,Colorado,57255.0
220,2011,Colorado,58629.0
221,2010,Colorado,60233.0
222,2009,Colorado,55930.0
223,2008,Colorado,60943.0
224,2007,Colorado,61141.0
225,2006,Colorado,55697.0
226,2005,Colorado,50449.0
227,2004,Colorado,50886.0
228,2003,Colorado,49940.0
229,2002,Colorado,48294.0
230,2001,Colorado,49397.0
231,2000,Colorado,48240.0
232,1999,Colorado,48177.0
233,1998,Colorado,46599.0
234,1997,Colorado,43233.0
235,1996,Colorado,40950.0
236,1995,Colorado,40706.0
237,1994,Colorado,37833.0
238,1993,Colorado,34488.0
239,1992,Colorado,32484.0
240,1991,Colorado,31499.0
241,1990,Colorado,30733.0
242,1989,Colorado,26806.0
243,1988,Colorado,26214.0
244,1987,Colorado,26476.0
245,2021,Connecticut,80958.0
246,2020,Connecticut,79432.0
247,2019,Connecticut,87291.0
248,2018,Connecticut,72812.0
249,2017,Connecticut,74304.0
250,2016,Connecticut,75923.0
251,2015,Connecticut,72889.0
252,2014,Connecticut,70161.0
253,2013,Connecticut,67781.0
254,2012,Connecticut,64247.0
255,2011,Connecticut,65415.0
256,2010,Connecticut,65998.0
257,2009,Connecticut,64851.0
258,2008,Connecticut,64682.0
259,2007,Connecticut,64141.0
260,2006,Connecticut,62404.0
261,2005,Connecticut,56835.0
262,2004,Connecticut,55100.0
263,2003,Connecticut,54965.0
264,2002,Connecticut,53387.0
265,2001,Connecticut,53347.0
266,2000,Connecticut,50172.0
267,1999,Connecticut,50593.0
268,1998,Connecticut,46508.0
269,1997,Connecticut,43985.0
270,1996,Connecticut,42119.0
271,1995,Connecticut,40243.0
272,1994,Connecticut,41097.0
273,1993,Connecticut,39516.0
274,1992,Connecticut,40841.0
275,1991,Connecticut,42154.0
276,1990,Connecticut,38870.0
277,1989,Connecticut,42321.0
278,1988,Connecticut,36213.0
279,1987,Connecticut,32862.0
280,2021,Delaware,68687.0
281,2020,Delaware,70022.0
282,2019,Delaware,74194.0
283,2018,Delaware,65012.0
284,2017,Delaware,64961.0
285,2016,Delaware,58046.0
286,2015,Delaware,57756.0
287,2014,Delaware,57522.0
288,2013,Delaware,52219.0
289,2012,Delaware,48972.0
290,2011,Delaware,54660.0
291,2010,Delaware,55214.0
292,2009,Delaware,52114.0
293,2008,Delaware,50702.0
294,2007,Delaware,54589.0
295,2006,Delaware,52438.0
296,2005,Delaware,51235.0
297,2004,Delaware,48049.0
298,2003,Delaware,49019.0
299,2002,Delaware,49650.0
300,2001,Delaware,49602.0
301,2000,Delaware,50365.0
302,1999,Delaware,46628.0
303,1998,Delaware,41458.0
304,1997,Delaware,43033.0
305,1996,Delaware,39309.0
306,1995,Delaware,34928.0
307,1994,Delaware,35873.0
308,1993,Delaware,36064.0
309,1992,Delaware,35678.0
310,1991,Delaware,32585.0
311,1990,Delaware,30804.0
312,1989,Delaware,32068.0
313,1988,Delaware,30505.0
314,1987,Delaware,29244.0
315,2021,District_of_Columbia,90640.0
316,2020,District_of_Columbia,88218.0
317,2019,District_of_Columbia,93111.0
318,2018,District_of_Columbia,85750.0
319,2017,District_of_Columbia,81282.0
320,2016,District_of_Columbia,70982.0
321,2015,District_of_Columbia,70071.0
322,2014,District_of_Columbia,68277.0
323,2013,District_of_Columbia,60675.0
324,2012,District_of_Columbia,65246.0
325,2011,District_of_Columbia,55251.0
326,2010,District_of_Columbia,56928.0
327,2009,District_of_Columbia,53141.0
328,2008,District_of_Columbia,55590.0
329,2007,District_of_Columbia,50783.0
330,2006,District_of_Columbia,48477.0
331,2005,District_of_Columbia,44993.0
332,2004,District_of_Columbia,43451.0
333,2003,District_of_Columbia,45044.0
334,2002,District_of_Columbia,39070.0
335,2001,District_of_Columbia,41169.0
336,2000,District_of_Columbia,41222.0
337,1999,District_of_Columbia,38670.0
338,1998,District_of_Columbia,33433.0
339,1997,District_of_Columbia,31860.0
340,1996,District_of_Columbia,31966.0
341,1995,District_of_Columbia,30748.0
342,1994,District_of_Columbia,30116.0
343,1993,District_of_Columbia,27304.0
344,1992,District_of_Columbia,30247.0
345,1991,District_of_Columbia,29885.0
346,1990,District_of_Columbia,27392.0
347,1989,District_of_Columbia,26752.0
348,1988,District_of_Columbia,26741.0
349,1987,District_of_Columbia,27455.0
350,2021,Florida,59734.0
351,2020,Florida,57763.0
352,2019,Florida,58368.0
353,2018,Florida,54644.0
354,2017,Florida,53086.0
355,2016,Florida,51176.0
356,2015,Florida,48825.0
357,2014,Florida,46140.0
358,2013,Florida,47886.0
359,2012,Florida,46071.0
360,2011,Florida,45105.0
361,2010,Florida,44066.0
362,2009,Florida,45631.0
363,2008,Florida,44857.0
364,2007,Florida,45794.0
365,2006,Florida,45676.0
366,2005,Florida,42990.0
367,2004,Florida,40535.0
368,2003,Florida,38972.0
369,2002,Florida,38024.0
370,2001,Florida,36421.0
371,2000,Florida,38856.0
372,1999,Florida,35831.0
373,1998,Florida,34909.0
374,1997,Florida,32455.0
375,1996,Florida,30641.0
376,1995,Florida,29745.0
377,1994,Florida,29294.0
378,1993,Florida,28550.0
379,1992,Florida,27349.0
380,1991,Florida,27252.0
381,1990,Florida,26685.0
382,1989,Florida,26085.0
383,1988,Florida,25406.0
384,1987,Florida,24489.0
385,2021,Georgia,61497.0
386,2020,Georgia,59265.0
387,2019,Georgia,56628.0
388,2018,Georgia,55821.0
389,2017,Georgia,57985.0
390,2016,Georgia,53527.0
391,2015,Georgia,50768.0
392,2014,Georgia,49555.0
393,2013,Georgia,47439.0
394,2012,Georgia,48121.0
395,2011,Georgia,45973.0
396,2010,Georgia,44117.0
397,2009,Georgia,43340.0
398,2008,Georgia,46227.0
399,2007,Georgia,48641.0
400,2006,Georgia,49344.0
401,2005,Georgia,45926.0
402,2004,Georgia,40984.0
403,2003,Georgia,42438.0
404,2002,Georgia,42939.0
405,2001,Georgia,42576.0
406,2000,Georgia,41901.0
407,1999,Georgia,39425.0
408,1998,Georgia,38665.0
409,1997,Georgia,36663.0
410,1996,Georgia,32496.0
411,1995,Georgia,34099.0
412,1994,Georgia,31467.0
413,1993,Georgia,31663.0
414,1992,Georgia,28797.0
415,1991,Georgia,27212.0
416,1990,Georgia,27561.0
417,1989,Georgia,27542.0
418,1988,Georgia,26566.0
419,1987,Georgia,26714.0
420,2021,Hawaii,82199.0
421,2020,Hawaii,80825.0
422,2019,Hawaii,88006.0
423,2018,Hawaii,80108.0
424,2017,Hawaii,73599.0
425,2016,Hawaii,72133.0
426,2015,Hawaii,64514.0
427,2014,Hawaii,71223.0
428,2013,Hawaii,61408.0
429,2012,Hawaii,56263.0
430,2011,Hawaii,59047.0
431,2010,Hawaii,59539.0
432,2009,Hawaii,55649.0
433,2008,Hawaii,61521.0
434,2007,Hawaii,64022.0
435,2006,Hawaii,60470.0
436,2005,Hawaii,59586.0
437,2004,Hawaii,56242.0
438,2003,Hawaii,51834.0
439,2002,Hawaii,47303.0
440,2001,Hawaii,47439.0
441,2000,Hawaii,51546.0
442,1999,Hawaii,44504.0
443,1998,Hawaii,40827.0
444,1997,Hawaii,40934.0
445,1996,Hawaii,41772.0
446,1995,Hawaii,42851.0
447,1994,Hawaii,42255.0
448,1993,Hawaii,42662.0
449,1992,Hawaii,42113.0
450,1991,Hawaii,37246.0
451,1990,Hawaii,38921.0
452,1989,Hawaii,35035.0
453,1988,Hawaii,33024.0
454,1987,Hawaii,35022.0
455,2021,Idaho,76918.0
456,2020,Idaho,66725.0
457,2019,Idaho,65988.0
458,2018,Idaho,58728.0
459,2017,Idaho,59497.0
460,2016,Idaho,56564.0
461,2015,Idaho,51624.0
462,2014,Idaho,53438.0
463,2013,Idaho,51767.0
464,2012,Idaho,47922.0
465,2011,Idaho,47459.0
466,2010,Idaho,47050.0
467,2009,Idaho,46778.0
468,2008,Idaho,47420.0
469,2007,Idaho,49184.0
470,2006,Idaho,46213.0
471,2005,Idaho,44176.0
472,2004,Idaho,44358.0
473,2003,Idaho,42372.0
474,2002,Idaho,37715.0
475,2001,Idaho,38241.0
476,2000,Idaho,37611.0
477,1999,Idaho,35800.0
478,1998,Idaho,36680.0
479,1997,Idaho,33404.0
480,1996,Idaho,34709.0
481,1995,Idaho,32676.0
482,1994,Idaho,31536.0
483,1993,Idaho,31010.0
484,1992,Idaho,27704.0
485,1991,Idaho,26116.0
486,1990,Idaho,25305.0
487,1989,Idaho,24654.0
488,1988,Idaho,23450.0
489,1987,Idaho,20755.0
490,2021,Illinois,79253.0
491,2020,Illinois,74334.0
492,2019,Illinois,74399.0
493,2018,Illinois,70145.0
494,2017,Illinois,65969.0
495,2016,Illinois,61386.0
496,2015,Illinois,60413.0
497,2014,Illinois,54916.0
498,2013,Illinois,57196.0
499,2012,Illinois,51738.0
500,2011,Illinois,50637.0
501,2010,Illinois,50728.0
502,2009,Illinois,52870.0
503,2008,Illinois,53254.0
504,2007,Illinois,52506.0
505,2006,Illinois,48671.0
506,2005,Illinois,48398.0
507,2004,Illinois,46077.0
508,2003,Illinois,45153.0
509,2002,Illinois,42710.0
510,2001,Illinois,46171.0
511,2000,Illinois,46064.0
512,1999,Illinois,46330.0
513,1998,Illinois,43178.0
514,1997,Illinois,41283.0
515,1996,Illinois,39554.0
516,1995,Illinois,38071.0
517,1994,Illinois,35081.0
518,1993,Illinois,32857.0
519,1992,Illinois,31551.0
520,1991,Illinois,31884.0
521,1990,Illinois,32542.0
522,1989,Illinois,31300.0
523,1988,Illinois,29524.0
524,1987,Illinois,27084.0
525,2021,Indiana,70190.0
526,2020,Indiana,66805.0
527,2019,Indiana,66693.0
528,2018,Indiana,59892.0
529,2017,Indiana,58767.0
530,2016,Indiana,56094.0
531,2015,Indiana,51983.0
532,2014,Indiana,48060.0
533,2013,Indiana,50553.0
534,2012,Indiana,46158.0
535,2011,Indiana,44445.0
536,2010,Indiana,46139.0
537,2009,Indiana,44305.0
538,2008,Indiana,46520.0
539,2007,Indiana,47453.0
540,2006,Indiana,45407.0
541,2005,Indiana,42437.0
542,2004,Indiana,42329.0
543,2003,Indiana,42425.0
544,2002,Indiana,41047.0
545,2001,Indiana,40379.0
546,2000,Indiana,40865.0
547,1999,Indiana,40838.0
548,1998,Indiana,39731.0
549,1997,Indiana,38889.0
550,1996,Indiana,35147.0
551,1995,Indiana,33385.0
552,1994,Indiana,27858.0
553,1993,Indiana,29475.0
554,1992,Indiana,28530.0
555,1991,Indiana,27089.0
556,1990,Indiana,26928.0
557,1989,Indiana,25898.0
558,1988,Indiana,26293.0
559,1987,Indiana,22519.0
560,2021,Iowa,72429.0
561,2020,Iowa,68816.0
562,2019,Iowa,66054.0
563,2018,Iowa,68718.0
564,2017,Iowa,63467.0
565,2016,Iowa,59094.0
566,2015,Iowa,60855.0
567,2014,Iowa,57810.0
568,2013,Iowa,54855.0
569,2012,Iowa,53442.0
570,2011,Iowa,50219.0
571,2010,Iowa,49016.0
572,2009,Iowa,50721.0
573,2008,Iowa,50142.0
574,2007,Iowa,48908.0
575,2006,Iowa,48126.0
576,2005,Iowa,46500.0
577,2004,Iowa,43391.0
578,2003,Iowa,41384.0
579,2002,Iowa,41049.0
580,2001,Iowa,40976.0
581,2000,Iowa,40991.0
582,1999,Iowa,41098.0
583,1998,Iowa,37019.0
584,1997,Iowa,33783.0
585,1996,Iowa,33209.0
586,1995,Iowa,35519.0
587,1994,Iowa,33079.0
588,1993,Iowa,28663.0
589,1992,Iowa,28743.0
590,1991,Iowa,28553.0
591,1990,Iowa,27288.0
592,1989,Iowa,26265.0
593,1988,Iowa,24305.0
594,1987,Iowa,22190.0
595,2021,Kansas,75979.0
596,2020,Kansas,73082.0
597,2019,Kansas,73151.0
598,2018,Kansas,63938.0
599,2017,Kansas,56900.0
600,2016,Kansas,56810.0
601,2015,Kansas,54865.0
602,2014,Kansas,53444.0
603,2013,Kansas,51485.0
604,2012,Kansas,50003.0
605,2011,Kansas,46147.0
606,2010,Kansas,46054.0
607,2009,Kansas,44717.0
608,2008,Kansas,47877.0
609,2007,Kansas,48497.0
610,2006,Kansas,45552.0
611,2005,Kansas,42027.0
612,2004,Kansas,41066.0
613,2003,Kansas,44232.0
614,2002,Kansas,42619.0
615,2001,Kansas,41415.0
616,2000,Kansas,41059.0
617,1999,Kansas,37348.0
618,1998,Kansas,36711.0
619,1997,Kansas,36471.0
620,1996,Kansas,32585.0
621,1995,Kansas,30341.0
622,1994,Kansas,28322.0
623,1993,Kansas,29770.0
624,1992,Kansas,30346.0
625,1991,Kansas,29295.0
626,1990,Kansas,29917.0
627,1989,Kansas,26862.0
628,1988,Kansas,25566.0
629,1987,Kansas,25583.0
630,2021,Kentucky,55629.0
631,2020,Kentucky,56755.0
632,2019,Kentucky,55662.0
633,2018,Kentucky,54555.0
634,2017,Kentucky,49672.0
635,2016,Kentucky,45369.0
636,2015,Kentucky,42387.0
637,2014,Kentucky,42786.0
638,2013,Kentucky,42158.0
639,2012,Kentucky,41086.0
640,2011,Kentucky,39856.0
641,2010,Kentucky,41104.0
642,2009,Kentucky,42664.0
643,2008,Kentucky,41148.0
644,2007,Kentucky,39452.0
645,2006,Kentucky,39485.0
646,2005,Kentucky,36699.0
647,2004,Kentucky,35610.0
648,2003,Kentucky,36936.0
649,2002,Kentucky,36762.0
650,2001,Kentucky,38437.0
651,2000,Kentucky,36265.0
652,1999,Kentucky,33738.0
653,1998,Kentucky,36252.0
654,1997,Kentucky,33452.0
655,1996,Kentucky,32413.0
656,1995,Kentucky,29810.0
657,1994,Kentucky,26595.0
658,1993,Kentucky,24376.0
659,1992,Kentucky,23485.0
660,1991,Kentucky,23764.0
661,1990,Kentucky,24780.0
662,1989,Kentucky,23283.0
663,1988,Kentucky,19907.0
664,1987,Kentucky,20673.0
665,2021,Louisiana,57206.0
666,2020,Louisiana,51186.0
