,Date,Year,Month txt,All,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Women,Men
0,23-Feb,2023,Feb,62.30%,40.30%,58.20%,62.70%,73.00%,73.50%,56.90%,68.00%
1,23-Jan,2023,Jan,62.30%,40.20%,58.20%,62.70%,73.00%,73.50%,56.80%,68.00%
2,22-Dec,2022,Dec,62.20%,40.10%,58.20%,62.70%,73.00%,73.50%,56.80%,68.00%
3,22-Nov,2022,Nov,62.20%,40.10%,58.10%,62.70%,72.90%,73.50%,56.80%,67.90%
4,22-Oct,2022,Oct,62.20%,40.00%,58.10%,62.70%,72.90%,73.50%,56.80%,67.90%
5,22-Sep,2022,Sep,62.20%,40.00%,58.10%,62.80%,72.90%,73.40%,56.70%,67.90%
6,22-Aug,2022,Aug,62.10%,40.00%,58.00%,62.80%,72.80%,73.30%,56.60%,67.90%
7,22-Jul,2022,Jul,62.10%,40.00%,57.90%,62.90%,72.70%,73.30%,56.60%,67.90%
8,22-Jun,2022,Jun,62.00%,40.10%,57.80%,62.90%,72.60%,73.30%,56.50%,67.90%
9,22-May,2022,May,62.00%,40.00%,57.70%,63.00%,72.60%,73.30%,56.40%,67.90%
10,22-Apr,2022,Apr,61.90%,39.80%,57.60%,63.00%,72.50%,73.20%,56.40%,67.80%
11,22-Mar,2022,Mar,61.90%,39.80%,57.50%,63.00%,72.40%,73.20%,56.30%,67.80%
12,22-Feb,2022,Feb,61.80%,39.70%,57.30%,63.00%,72.40%,73.10%,56.20%,67.70%
13,22-Jan,2022,Jan,61.70%,39.60%,57.20%,62.90%,72.40%,72.90%,56.20%,67.60%
14,21-Dec,2021,Dec,61.70%,39.60%,57.00%,62.90%,72.40%,72.90%,56.10%,67.60%
15,21-Nov,2021,Nov,61.60%,39.60%,57.00%,62.90%,72.30%,72.90%,56.00%,67.60%
16,21-Oct,2021,Oct,61.60%,39.60%,57.00%,62.80%,72.30%,73.00%,56.00%,67.50%
17,21-Sep,2021,Sep,61.60%,39.60%,57.00%,62.80%,72.30%,73.00%,56.00%,67.50%
18,21-Aug,2021,Aug,61.60%,39.50%,57.00%,62.80%,72.30%,73.00%,56.00%,67.50%
19,21-Jul,2021,Jul,61.60%,39.30%,56.90%,62.80%,72.30%,73.10%,56.00%,67.50%
20,21-Jun,2021,Jun,61.50%,39.10%,56.90%,62.80%,72.20%,73.10%,56.00%,67.50%
21,21-May,2021,May,61.50%,38.90%,56.80%,62.70%,72.20%,73.10%,56.00%,67.40%
22,21-Apr,2021,Apr,61.50%,38.80%,56.70%,62.70%,72.20%,73.10%,55.90%,67.40%
23,21-Mar,2021,Mar,61.30%,38.60%,56.60%,62.50%,72.10%,73.00%,55.80%,67.30%
24,21-Feb,2021,Feb,61.40%,38.70%,56.70%,62.60%,72.20%,73.10%,55.90%,67.40%
25,21-Jan,2021,Jan,61.60%,38.80%,57.00%,62.80%,72.30%,73.30%,56.00%,67.50%
26,20-Dec,2020,Dec,61.70%,38.80%,57.30%,63.00%,72.40%,73.40%,56.20%,67.70%
27,20-Nov,2020,Nov,61.90%,38.90%,57.50%,63.10%,72.50%,73.50%,56.40%,67.80%
28,20-Oct,2020,Oct,62.00%,38.90%,57.80%,63.30%,72.70%,73.60%,56.50%,68.00%
29,20-Sep,2020,Sep,62.20%,39.00%,57.90%,63.50%,72.80%,73.80%,56.60%,68.10%
30,20-Aug,2020,Aug,62.30%,39.10%,58.20%,63.60%,72.90%,73.90%,56.80%,68.20%
31,20-Jul,2020,Jul,62.40%,39.30%,58.40%,63.80%,73.00%,74.00%,56.90%,68.30%
32,20-Jun,2020,Jun,62.60%,39.50%,58.60%,64.00%,73.20%,74.10%,57.00%,68.50%
33,20-May,2020,May,62.70%,39.70%,58.90%,64.10%,73.30%,74.20%,57.10%,68.70%
34,20-Apr,2020,Apr,62.90%,39.90%,59.10%,64.40%,73.50%,74.30%,57.30%,68.90%
35,20-Mar,2020,Mar,63.10%,40.20%,59.50%,64.70%,73.70%,74.50%,57.50%,69.10%
36,20-Feb,2020,Feb,63.10%,40.20%,59.50%,64.70%,73.80%,74.60%,57.50%,69.20%
37,20-Jan,2020,Jan,63.10%,40.20%,59.50%,64.80%,73.80%,74.60%,57.50%,69.20%
38,19-Dec,2019,Dec,63.10%,40.10%,59.50%,64.80%,73.80%,74.60%,57.40%,69.20%
39,19-Nov,2019,Nov,63.10%,40.10%,59.50%,64.80%,73.70%,74.60%,57.40%,69.10%
40,19-Oct,2019,Oct,63.00%,40.20%,59.40%,64.90%,73.70%,74.60%,57.40%,69.10%
41,19-Sep,2019,Sep,63.00%,40.20%,59.40%,64.90%,73.60%,74.60%,57.30%,69.10%
42,19-Aug,2019,Aug,63.00%,40.20%,59.30%,64.90%,73.60%,74.50%,57.30%,69.10%
43,19-Jul,2019,Jul,62.90%,40.10%,59.30%,64.80%,73.70%,74.50%,57.20%,69.00%
44,19-Jun,2019,Jun,62.90%,40.10%,59.30%,64.90%,73.80%,74.40%,57.20%,69.00%
45,19-May,2019,May,62.90%,40.20%,59.30%,64.90%,73.80%,74.40%,57.20%,69.00%
46,19-Apr,2019,Apr,62.90%,40.20%,59.30%,64.90%,73.90%,74.50%,57.20%,69.00%
47,19-Mar,2019,Mar,62.90%,40.30%,59.20%,64.90%,73.90%,74.50%,57.20%,69.00%
48,19-Feb,2019,Feb,62.90%,40.30%,59.10%,64.90%,73.90%,74.50%,57.20%,69.10%
49,19-Jan,2019,Jan,62.90%,40.40%,59.10%,65.00%,73.90%,74.50%,57.10%,69.10%
50,18-Dec,2018,Dec,62.90%,40.40%,59.00%,65.00%,73.90%,74.40%,57.10%,69.10%
51,18-Nov,2018,Nov,62.80%,40.30%,59.00%,65.00%,73.90%,74.40%,57.00%,69.10%
52,18-Oct,2018,Oct,62.80%,40.20%,59.00%,65.10%,73.90%,74.40%,57.00%,69.10%
53,18-Sep,2018,Sep,62.80%,40.10%,58.90%,65.20%,74.00%,74.40%,57.00%,69.10%
54,18-Aug,2018,Aug,62.80%,40.10%,58.90%,65.30%,74.10%,74.40%,57.00%,69.10%
55,18-Jul,2018,Jul,62.90%,40.20%,58.90%,65.30%,74.10%,74.40%,57.00%,69.10%
56,18-Jun,2018,Jun,62.90%,40.20%,58.90%,65.30%,74.00%,74.50%,57.00%,69.10%
57,18-May,2018,May,62.80%,40.20%,58.90%,65.30%,74.00%,74.60%,57.00%,69.10%
58,18-Apr,2018,Apr,62.80%,40.30%,58.90%,65.30%,74.00%,74.60%,57.00%,69.10%
59,18-Mar,2018,Mar,62.80%,40.30%,59.00%,65.30%,73.90%,74.60%,57.00%,69.10%
60,18-Feb,2018,Feb,62.90%,40.30%,59.10%,65.40%,73.90%,74.70%,57.00%,69.10%
61,18-Jan,2018,Jan,62.80%,40.20%,59.10%,65.40%,73.80%,74.70%,57.00%,69.10%
62,17-Dec,2017,Dec,62.90%,40.20%,59.20%,65.40%,73.80%,74.80%,57.00%,69.10%
63,17-Nov,2017,Nov,62.80%,40.20%,59.20%,65.40%,73.80%,74.80%,57.00%,69.10%
64,17-Oct,2017,Oct,62.80%,40.30%,59.20%,65.40%,73.90%,74.90%,57.00%,69.10%
65,17-Sep,2017,Sep,62.90%,40.20%,59.20%,65.40%,73.90%,74.90%,57.00%,69.10%
66,17-Aug,2017,Aug,62.80%,40.20%,59.20%,65.40%,73.90%,74.90%,57.00%,69.10%
67,17-Jul,2017,Jul,62.80%,40.10%,59.20%,65.50%,73.90%,74.80%,56.90%,69.10%
68,17-Jun,2017,Jun,62.80%,40.10%,59.20%,65.50%,73.90%,74.80%,56.90%,69.20%
69,17-May,2017,May,62.80%,40.10%,59.20%,65.60%,73.90%,74.80%,56.90%,69.20%
70,17-Apr,2017,Apr,62.80%,40.00%,59.10%,65.70%,74.00%,74.80%,56.90%,69.20%
71,17-Mar,2017,Mar,62.80%,40.10%,59.10%,65.70%,74.00%,74.80%,56.80%,69.20%
72,17-Feb,2017,Feb,62.80%,40.10%,59.00%,65.80%,74.00%,74.80%,56.80%,69.20%
73,17-Jan,2017,Jan,62.80%,40.10%,59.00%,65.80%,74.10%,74.80%,56.80%,69.20%
74,16-Dec,2016,Dec,62.80%,40.10%,59.00%,65.90%,74.10%,74.80%,56.80%,69.20%
75,16-Nov,2016,Nov,62.80%,40.20%,58.90%,65.90%,74.20%,74.70%,56.80%,69.20%
76,16-Oct,2016,Oct,62.80%,40.20%,58.90%,65.90%,74.20%,74.70%,56.80%,69.20%
77,16-Sep,2016,Sep,62.80%,40.20%,58.90%,65.90%,74.30%,74.70%,56.80%,69.10%
78,16-Aug,2016,Aug,62.70%,40.10%,58.80%,65.80%,74.30%,74.70%,56.70%,69.10%
79,16-Jul,2016,Jul,62.70%,40.00%,58.80%,65.80%,74.30%,74.70%,56.70%,69.10%
80,16-Jun,2016,Jun,62.70%,39.90%,58.80%,65.80%,74.40%,74.70%,56.70%,69.00%
81,16-May,2016,May,62.70%,39.90%,58.80%,65.90%,74.40%,74.80%,56.70%,69.00%
82,16-Apr,2016,Apr,62.70%,40.00%,58.80%,65.90%,74.40%,74.90%,56.80%,69.00%
83,16-Mar,2016,Mar,62.70%,40.00%,58.80%,66.00%,74.50%,74.90%,56.70%,69.00%
84,16-Feb,2016,Feb,62.70%,40.00%,58.80%,66.00%,74.50%,74.80%,56.70%,69.00%
85,16-Jan,2016,Jan,62.60%,40.00%,58.70%,66.00%,74.50%,74.80%,56.70%,69.00%
86,15-Dec,2015,Dec,62.70%,39.90%,58.80%,66.00%,74.60%,74.80%,56.70%,69.10%
87,15-Nov,2015,Nov,62.70%,39.90%,58.80%,66.00%,74.60%,74.90%,56.70%,69.10%
88,15-Oct,2015,Oct,62.70%,40.00%,58.80%,66.10%,74.70%,74.90%,56.70%,69.10%
89,15-Sep,2015,Sep,62.70%,40.00%,58.90%,66.20%,74.70%,74.90%,56.70%,69.10%
90,15-Aug,2015,Aug,62.80%,40.10%,58.90%,66.20%,74.80%,74.90%,56.80%,69.20%
91,15-Jul,2015,Jul,62.80%,40.10%,59.00%,66.30%,74.90%,74.80%,56.80%,69.20%
92,15-Jun,2015,Jun,62.80%,40.00%,59.10%,66.40%,74.90%,74.70%,56.80%,69.20%
93,15-May,2015,May,62.80%,40.00%,59.10%,66.40%,75.00%,74.70%,56.80%,69.30%
94,15-Apr,2015,Apr,62.80%,39.90%,59.20%,66.40%,75.10%,74.60%,56.80%,69.20%
95,15-Mar,2015,Mar,62.80%,39.80%,59.20%,66.40%,75.20%,74.60%,56.90%,69.20%
96,15-Feb,2015,Feb,62.90%,39.80%,59.30%,66.40%,75.30%,74.70%,56.90%,69.20%
97,15-Jan,2015,Jan,62.90%,39.70%,59.40%,66.40%,75.30%,74.80%,57.00%,69.20%
98,14-Dec,2014,Dec,62.90%,39.60%,59.40%,66.40%,75.40%,74.90%,57.00%,69.20%
99,14-Nov,2014,Nov,62.90%,39.50%,59.40%,66.40%,75.40%,75.00%,57.00%,69.20%
100,14-Oct,2014,Oct,62.90%,39.40%,59.50%,66.50%,75.40%,75.10%,57.00%,69.20%
101,14-Sep,2014,Sep,62.90%,39.30%,59.50%,66.50%,75.40%,75.20%,57.00%,69.20%
102,14-Aug,2014,Aug,62.90%,39.30%,59.50%,66.60%,75.50%,75.30%,57.00%,69.30%
103,14-Jul,2014,Jul,63.00%,39.30%,59.50%,66.60%,75.50%,75.40%,57.00%,69.30%
104,14-Jun,2014,Jun,63.00%,39.40%,59.60%,66.60%,75.60%,75.60%,57.10%,69.30%
105,14-May,2014,May,63.00%,39.50%,59.70%,66.60%,75.60%,75.60%,57.10%,69.40%
106,14-Apr,2014,Apr,63.10%,39.60%,59.80%,66.70%,75.60%,75.60%,57.10%,69.50%
107,14-Mar,2014,Mar,63.10%,39.70%,59.90%,66.80%,75.60%,75.70%,57.20%,69.50%
108,14-Feb,2014,Feb,63.10%,39.70%,59.80%,66.90%,75.60%,75.70%,57.20%,69.60%
109,14-Jan,2014,Jan,63.20%,39.80%,59.80%,67.00%,75.60%,75.70%,57.20%,69.60%
110,13-Dec,2013,Dec,63.20%,39.90%,59.90%,67.10%,75.60%,75.80%,57.20%,69.70%
111,13-Nov,2013,Nov,63.30%,40.00%,59.90%,67.30%,75.60%,75.90%,57.30%,69.80%
112,13-Oct,2013,Oct,63.40%,40.00%,60.00%,67.30%,75.60%,76.00%,57.30%,69.90%
113,13-Sep,2013,Sep,63.40%,40.10%,60.10%,67.50%,75.60%,76.00%,57.40%,69.90%
114,13-Aug,2013,Aug,63.50%,40.20%,60.10%,67.50%,75.70%,76.20%,57.40%,70.00%
115,13-Jul,2013,Jul,63.50%,40.30%,60.20%,67.60%,75.70%,76.20%,57.50%,70.00%
116,13-Jun,2013,Jun,63.50%,40.40%,60.20%,67.60%,75.70%,76.30%,57.50%,70.00%
117,13-May,2013,May,63.60%,40.40%,60.20%,67.70%,75.70%,76.40%,57.50%,70.10%
118,13-Apr,2013,Apr,63.60%,40.40%,60.30%,67.70%,75.80%,76.50%,57.50%,70.10%
119,13-Mar,2013,Mar,63.60%,40.40%,60.30%,67.80%,75.90%,76.50%,57.60%,70.10%
120,13-Feb,2013,Feb,63.70%,40.40%,60.40%,67.90%,75.90%,76.60%,57.60%,70.10%
121,13-Jan,2013,Jan,63.70%,40.40%,60.50%,68.00%,76.00%,76.60%,57.70%,70.20%
122,12-Dec,2012,Dec,63.70%,40.40%,60.50%,68.00%,76.00%,76.50%,57.70%,70.20%
123,12-Nov,2012,Nov,63.70%,40.50%,60.60%,68.00%,76.00%,76.50%,57.70%,70.20%
124,12-Oct,2012,Oct,63.80%,40.60%,60.70%,68.00%,76.00%,76.60%,57.70%,70.20%
125,12-Sep,2012,Sep,63.80%,40.70%,60.70%,68.00%,76.00%,76.60%,57.80%,70.20%
126,12-Aug,2012,Aug,63.80%,40.80%,60.80%,68.10%,76.00%,76.70%,57.80%,70.30%
127,12-Jul,2012,Jul,63.90%,40.90%,60.80%,68.20%,76.00%,76.90%,57.90%,70.30%
128,12-Jun,2012,Jun,63.90%,40.90%,60.90%,68.20%,76.00%,77.00%,57.90%,70.30%
129,12-May,2012,May,63.90%,40.90%,60.90%,68.20%,76.00%,77.10%,57.90%,70.30%
130,12-Apr,2012,Apr,64.00%,40.90%,61.00%,68.30%,76.10%,77.20%,57.90%,70.40%
131,12-Mar,2012,Mar,64.00%,41.00%,61.00%,68.30%,76.10%,77.30%,58.00%,70.40%
132,12-Feb,2012,Feb,64.00%,41.00%,61.10%,68.40%,76.20%,77.30%,58.00%,70.40%
133,12-Jan,2012,Jan,64.10%,41.00%,61.20%,68.40%,76.20%,77.30%,58.10%,70.40%
134,11-Dec,2011,Dec,64.10%,41.00%,61.30%,68.40%,76.30%,77.30%,58.10%,70.50%
135,11-Nov,2011,Nov,64.10%,40.90%,61.40%,68.50%,76.40%,77.40%,58.10%,70.50%
136,11-Oct,2011,Oct,64.20%,40.90%,61.40%,68.60%,76.50%,77.40%,58.20%,70.50%
137,11-Sep,2011,Sep,64.20%,40.90%,61.50%,68.70%,76.50%,77.40%,58.20%,70.50%
138,11-Aug,2011,Aug,64.20%,40.90%,61.60%,68.70%,76.50%,77.30%,58.20%,70.60%
139,11-Jul,2011,Jul,64.30%,40.80%,61.70%,68.80%,76.60%,77.30%,58.30%,70.70%
140,11-Jun,2011,Jun,64.30%,40.80%,61.80%,68.90%,76.70%,77.30%,58.30%,70.70%
141,11-May,2011,May,64.40%,40.80%,61.90%,69.00%,76.70%,77.30%,58.40%,70.80%
142,11-Apr,2011,Apr,64.40%,40.90%,62.00%,69.10%,76.70%,77.30%,58.40%,70.80%
143,11-Mar,2011,Mar,64.50%,41.10%,62.20%,69.20%,76.70%,77.30%,58.50%,71.00%
144,11-Feb,2011,Feb,64.60%,41.10%,62.30%,69.30%,76.70%,77.30%,58.50%,71.00%
145,11-Jan,2011,Jan,64.60%,41.30%,62.40%,69.30%,76.70%,77.30%,58.60%,71.10%
146,10-Dec,2010,Dec,64.70%,41.30%,62.50%,69.40%,76.80%,77.30%,58.60%,71.20%
147,10-Nov,2010,Nov,64.70%,41.40%,62.60%,69.40%,76.80%,77.30%,58.60%,71.20%
148,10-Oct,2010,Oct,64.80%,41.40%,62.60%,69.40%,76.90%,77.40%,58.70%,71.30%
149,10-Sep,2010,Sep,64.80%,41.40%,62.70%,69.50%,77.00%,77.40%,58.70%,71.30%
150,10-Aug,2010,Aug,64.90%,41.50%,62.70%,69.50%,77.10%,77.40%,58.70%,71.40%
151,10-Jul,2010,Jul,64.90%,41.60%,62.70%,69.60%,77.30%,77.40%,58.80%,71.40%
152,10-Jun,2010,Jun,65.00%,41.80%,62.80%,69.70%,77.30%,77.50%,58.90%,71.50%
153,10-May,2010,May,65.10%,41.90%,62.90%,69.80%,77.40%,77.40%,59.00%,71.60%
154,10-Apr,2010,Apr,65.10%,42.00%,62.90%,69.90%,77.40%,77.50%,59.00%,71.70%
155,10-Mar,2010,Mar,65.20%,42.10%,62.90%,70.00%,77.50%,77.50%,59.00%,71.70%
156,10-Feb,2010,Feb,65.20%,42.20%,62.90%,70.10%,77.60%,77.60%,59.10%,71.80%
157,10-Jan,2010,Jan,65.30%,42.30%,63.00%,70.20%,77.60%,77.70%,59.20%,71.90%
